FacName,FacStreet,FacCity,FacState,RegistryID,FacCounty,FacLat,FacLong,FacSNCFlg,FacQtrsWithNC,FacPenaltyCount,GHGCO2Releases,TRIReleasesTransfers,FacMapFlg,"DFR URL"
"MARATHON COUNTY LANDFILL","18500 RINGLE AVENUE",RINGLE,WI,110014013441,MARATHON,44.890439,-89.384867,N,0,,81479,,Y,https://echo.epa.gov/detailed-facility-report?fid=110014013441
"NEENAH FOUNDRY CO - PLANTS 2 AND 3 (W2179)","2121 BROOKS AVENUE",NEENAH,WI,110000423453,WINNEBAGO,44.16243,-88.47349,N,0,,75061,1179729,Y,https://echo.epa.gov/detailed-facility-report?fid=110000423453
"ADVANCED DISPOSAL SERVICES HICKORY MEADOWS LANDFILL LLC","W3105 SCHNEIDER RD",HILBERT,WI,110001929600,CALUMET,44.107451,-88.194894,N,0,,74995,,Y,https://echo.epa.gov/detailed-facility-report?fid=110001929600
"SAINT-GOBAIN CONTAINERS","815 S MCHENRY ST",BURLINGTON,WI,110040969805,RACINE,42.6626,-88.2906,N,0,1,74458,710,Y,https://echo.epa.gov/detailed-facility-report?fid=110040969805
"OUTAGAMIE COUNTY LANDFILL","1419 HOLLAND RD",APPLETON,WI,110014013478,OUTAGAMIE,44.292498,-88.340023,N,0,,74345,,Y,https://echo.epa.gov/detailed-facility-report?fid=110014013478
"ACE ETHANOL LLC","815 W MAPLE ST",STANLEY,WI,110013812918,CHIPPEWA,44.9589,-90.9608,N,0,,73526,9772,Y,https://echo.epa.gov/detailed-facility-report?fid=110013812918
"KOHLER CO-ENGINE PLANT","444 HIGHLAND DRIVE",KOHLER,WI,110000416381,SHEBOYGAN,43.7375,-87.763889,N,0,,72512,348045,Y,https://echo.epa.gov/detailed-facility-report?fid=110000416381
"MALLARD RIDGE LANDFILL","W8470 STATE RD 11",DELAVAN,WI,110043795881,WALWORTH,42.643578,-88.717968,N,0,,72142,,Y,https://echo.epa.gov/detailed-facility-report?fid=110043795881
"PARIS GENERATING STATION","335 N 172ND AVE","UNION GROVE",WI,110041698268,KENOSHA,42.665,-88.014444,N,2,,70047,,Y,https://echo.epa.gov/detailed-facility-report?fid=110041698268
"GREDE LLC - REEDSBURG","700 ASH STREET",REEDSBURG,WI,110000420606,SAUK,43.528049,-89.9996,N,2,,67298,315048,Y,https://echo.epa.gov/detailed-facility-report?fid=110000420606
"SUPERIOR CTY MOCCASIN MIKE LANDFILL","MOCCASIN MIKE ROAD",SUPERIOR,WI,110038087263,DOUGLAS,46.669699,-91.966796,N,0,,64500,,Y,https://echo.epa.gov/detailed-facility-report?fid=110038087263
"ATI LADISH FORGING","5481 S PACKARD AVE",CUDAHY,WI,110000417228,MILWAUKEE,42.947167,-87.8615,N,1,,63727,62386,Y,https://echo.epa.gov/detailed-facility-report?fid=110000417228
"WISCONSIN POWER & LIGHT - FOND DU LAC","N5356 RIVER ROAD","FOND DU LAC",WI,110013863186,"FOND DU LAC",43.7353,-88.4968,N,0,,57387,,Y,https://echo.epa.gov/detailed-facility-report?fid=110013863186
"THILMANY PAPERS NICOLET MILL","200 MAIN AVE",DEPERE,WI,110000420884,BROWN,44.44739,-88.06851,N,0,,56076,234,Y,https://echo.epa.gov/detailed-facility-report?fid=110000420884
"VEOLIA ES EMERALD PARK LANDFILL","W124 S10629 S 124TH",MUSKEGO,WI,110005509306,WAUKESHA,42.849682,-88.07639,N,0,,53263,,Y,https://echo.epa.gov/detailed-facility-report?fid=110005509306
"GEORGIA PACIFIC CONSUMER PRODUCTS LP","500 DAY ST","GREEN BAY",WI,110000421614,BROWN,44.52031,-88.0054,N,0,,52752,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000421614
"VEOLIA ES GLACIER RIDGE LANDFILL","N7296 HWY V",HORICON,WI,110040959558,DODGE,43.459531,-88.554139,N,1,,52732,,Y,https://echo.epa.gov/detailed-facility-report?fid=110040959558
"NEENAH PAPER - WHITING MILL","3243 WHITING ROAD","STEVENS POINT",WI,110000850945,PORTAGE,44.48188,-89.56839,Y,4,,52583,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000850945
"US PAPER MILLS CORP. - MENASHA MILL","69 WASHINGTON ST",MENASHA,WI,110000423426,WINNEBAGO,44.19793,-88.45321,N,0,,52061,77,Y,https://echo.epa.gov/detailed-facility-report?fid=110000423426
"LA CROSSE COUNTY SOLID WASTE MANAGEMENT FACILITY","6500 STATE RD 16","LA CROSSE",WI,110038457452,"LA CROSSE",43.883285,-91.162154,N,0,,46762,,Y,https://echo.epa.gov/detailed-facility-report?fid=110038457452
"WISCONSIN PAPERBOARD CORP","1514 E THOMAS AVE",MILWAUKEE,WI,110001923278,MILWAUKEE,43.06138,-87.89162,N,0,,45288,128,Y,https://echo.epa.gov/detailed-facility-report?fid=110001923278
"MCCAIN FOODS POTATO FACILITY","HWY 54 AND 110TH ST.",PLOVER,WI,110006142414,PORTAGE,44.454601,-89.540802,N,1,,43209,1036234,Y,https://echo.epa.gov/detailed-facility-report?fid=110006142414
"MILWAUKEE COUNTY INSTITUTIONS POWER PLANT","9250 WATERTOWN PLANK RD",MILWAUKEE,WI,110000419226,MILWAUKEE,43.0462,-88.0278,N,0,,42968,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000419226
"KIMBERLY CLARK CORP","3120 RIVERSIDE AVE",MARINETTE,WI,110000420900,MARINETTE,45.10477,-87.64984,Y,2,,42151,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000420900
"WISCONSIN ELECTRIC POWER COMPANY (DBA WE ENERGIES) - ROTHSCHILD BIOMASS COGENE","210 N GRAND AVE",ROTHSCHILD,WI,110054628729,MARATHON,44.888355,-89.625821,Y,3,,40859,,Y,https://echo.epa.gov/detailed-facility-report?fid=110054628729
"3M CO - WAUSAU DOWNTOWN","144 ROSECRANS ST",WAUSAU,WI,110000421776,MARATHON,44.95018,-89.63766,N,2,,40427,71817,Y,https://echo.epa.gov/detailed-facility-report?fid=110000421776
"GERMANTOWN POWER PLANT","N96 W19298 COUNTY LINE RD",GERMANTOWN,WI,110005266620,WASHINGTON,43.19592,-88.14939,N,0,,39693,,Y,https://echo.epa.gov/detailed-facility-report?fid=110005266620
"MILLERCOORS USA LLC","4000 W STATE ST",MILWAUKEE,WI,110000418174,MILWAUKEE,43.04212,-87.96307,N,2,,39500,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000418174
"MERCURY MARINE - PLANTS 3,4,10,12,15,17,","W6250 PIONEER RD","FOND DU LAC",WI,110000423364,"FOND DU LAC",43.759661,-88.468509,N,1,,39102,90533,Y,https://echo.epa.gov/detailed-facility-report?fid=110000423364
"APPVION OPERATIONS INC","825 E WISCONSIN AVE",APPLETON,WI,110000423140,OUTAGAMIE,44.2729,-88.39311,N,0,,38053,43345,Y,https://echo.epa.gov/detailed-facility-report?fid=110000423140
"SAPUTO CHEESE USA INC","N3545 CTH EE",WAUPUN,WI,110000578679,"FOND DU LAC",43.616667,-88.716667,N,7,,34311,84644,Y,https://echo.epa.gov/detailed-facility-report?fid=110000578679
"QUAD/GRAPHICS INC - LOMIRA","N11896 STH 175",LOMIRA,WI,110000416425,DODGE,43.6264,-88.4446,N,6,,34108,226144,Y,https://echo.epa.gov/detailed-facility-report?fid=110000416425
"LITTLE RAPIDS CORP - SHAWANO PAPER MILL","W7575 POPLAR RD AT HWY MM",SHAWANO,WI,110005518136,SHAWANO,44.77561,-88.62285,N,1,,33721,,Y,https://echo.epa.gov/detailed-facility-report?fid=110005518136
"FRENCH ISLAND PLANT","200 SOUTH BAINBRIDGE STREET","LA CROSSE",WI,110000422524,"LA CROSSE",43.8291,-91.2597,N,12,,33453,138471,Y,https://echo.epa.gov/detailed-facility-report?fid=110000422524
"FLAMBEAU RIVER PAPERS LLC","200 1ST AVE N","PARK FALLS",WI,110000422392,PRICE,45.93657,-90.44776,N,2,,31513,106014,Y,https://echo.epa.gov/detailed-facility-report?fid=110000422392
"W M W I - METRO RECYCLING & DISPOSAL","10712 S 124TH ST",FRANKLIN,WI,110000620766,MILWAUKEE,42.850388,-88.069672,Y,12,,31189,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000620766
"DEER TRACK PARK LANDFILL","N6756 WALDMANN LANE",WATERTOWN,WI,110013863140,JEFFERSON,43.091345,-88.744231,N,0,,31188,,Y,https://echo.epa.gov/detailed-facility-report?fid=110013863140
"DANE COUNTY LANDFILL SITE #2 RODEFELD","7102 EAST BROADWAY STREET",MADISON,WI,110002036546,DANE,43.045,-89.255,N,0,,31139,,Y,https://echo.epa.gov/detailed-facility-report?fid=110002036546
"CELLU TISSUE - CITYFOREST LLC","1215 E WORDEN AVE",LADYSMITH,WI,110000422908,RUSK,45.46343,-91.08877,N,1,,30878,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000422908
"GRASSLAND DAIRY PRODUCTS INC","N 8790 FAIRGROUND AVE",GREENWOOD,WI,110063931606,CLARK,44.737766,-90.578091,N,0,,30114,,Y,https://echo.epa.gov/detailed-facility-report?fid=110063931606
"PHEASANT RUN LANDFILL GAS RECOVERY","19414 60TH STREET",BRISTOL,WI,110028043980,KENOSHA,42.582793,-88.043889,N,2,,29272,,Y,https://echo.epa.gov/detailed-facility-report?fid=110028043980
"WINNEBAGO COUNTY SUNNYVIEW LANDFILL","100 WEST COUNTY RD Y",OSHKOSH,WI,110043811328,WINNEBAGO,44.08601,-88.549349,N,0,,29199,,Y,https://echo.epa.gov/detailed-facility-report?fid=110043811328
"CELLU TISSUE NEENAH","249 NORTH LAKE STREET",MENASHA,WI,110005427323,WINNEBAGO,44.19391,-88.47556,N,0,,28744,,Y,https://echo.epa.gov/detailed-facility-report?fid=110005427323
"SKANA ALUMINUM","2009 MIRRO DR",MANITOWOC,WI,110043419903,MANITOWOC,44.12862,-87.63048,N,0,,28629,12982,Y,https://echo.epa.gov/detailed-facility-report?fid=110043419903
"NEMAK USA INC-GATEWAY","4243 GATEWAY DR",SHEBOYGAN,WI,110000416782,SHEBOYGAN,43.70823,-87.7526,N,0,,28120,435118,Y,https://echo.epa.gov/detailed-facility-report?fid=110000416782
"ERCO WORLDWIDE (USA) INC","101 STATE HIGHWAY 73 SOUTH",NEKOOSA,WI,110000594198,WOOD,44.3381,-89.8871,N,1,,27043,3768,Y,https://echo.epa.gov/detailed-facility-report?fid=110000594198
"DIVERSEY INC  - WAXDALE FACILITY","2512 WILLOW ROAD",STURTEVANT,WI,110002044715,RACINE,42.71464,-87.88606,N,0,,26444,5377,Y,https://echo.epa.gov/detailed-facility-report?fid=110002044715
"CASCADES TISSUE GROUP - WI INC","1200 FOREST ST","EAU CLAIRE",WI,110000422748,"EAU CLAIRE",44.828889,-91.509167,Y,3,,26423,57944,Y,https://echo.epa.gov/detailed-facility-report?fid=110000422748
"WI DOA / UW-MILWAUKEE","3359 N DOWNER AVE",MILWAUKEE,WI,110010885710,MILWAUKEE,43.078689,-87.877823,N,0,,25568,,Y,https://echo.epa.gov/detailed-facility-report?fid=110010885710
"WATER RENEWAL CENTER","2690 W RIVER RD","STEVENS POINT",WI,110000422249,PORTAGE,44.486243,-89.582534,N,3,,24994,7921,Y,https://echo.epa.gov/detailed-facility-report?fid=110000422249
"MADISON GAS & ELECTRIC CO","717 E MAIN ST",MADISON,WI,110000420152,DANE,43.0792,-89.3739,Y,3,,24529,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000420152
"VEOLIA SEVEN MILE CREEK LANDFILL","8001 OLSON DRIVE","EAU CLAIRE",WI,110016925274,"EAU CLAIRE",44.837534,-91.367144,N,1,,23121,,Y,https://echo.epa.gov/detailed-facility-report?fid=110016925274
"VALLEY TRAIL RECYCLING &AMP; DISPOSAL FACILITY","RTE 2 - SOUTH WILLARD ROAD",BERLIN,WI,110043804121,"GREEN LAKE",43.95997,-88.906399,N,0,,22537,,Y,https://echo.epa.gov/detailed-facility-report?fid=110043804121
"W M W I - TIMBERLINE TRAIL RDF","N4581 HUTCHINSON ROAD",WEYERHAEUSER,WI,110015632680,RUSK,45.45344,-91.362534,N,0,,22496,,Y,https://echo.epa.gov/detailed-facility-report?fid=110015632680
"VEOLIA ES CRANBERRY CREEK LANDFILL","2510 ENGEL RD","WISCONSIN RAPIDS",WI,110043581317,WOOD,44.4093,-89.854855,N,0,,22296,,Y,https://echo.epa.gov/detailed-facility-report?fid=110043581317
"LAKE AREA DISPOSAL LANDFILL","W5987 COUNTY HIGHWAY D",SARONA,WI,110043787202,WASHBURN,45.69543,-91.83957,N,1,,20713,,Y,https://echo.epa.gov/detailed-facility-report?fid=110043787202
"XCEL ENERGY-WHEATON GENERATING STATION","3008 80TH ST","EAU CLAIRE",WI,110007776692,CHIPPEWA,44.88678,-91.50942,N,0,,20565,,Y,https://echo.epa.gov/detailed-facility-report?fid=110007776692
"RIDGEVIEW LANDFILL","6207 HEMPTON LAKE RD",WHITELAW,WI,110010410581,MANITOWOC,44.1744,-87.8294,N,0,,19825,,Y,https://echo.epa.gov/detailed-facility-report?fid=110010410581
"KESTREL HAWK LANDFILL","1989 OAKES RD",RACINE,WI,110000620748,RACINE,42.7075,-87.869737,N,0,,19085,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000620748
"XCEL ENERGY BAY FRONT GENERATING STATION","122 N 14TH AVENUE WEST",ASHLAND,WI,110000422846,ASHLAND,46.5873,-90.9014,N,2,,18612,241041,Y,https://echo.epa.gov/detailed-facility-report?fid=110000422846
"WPL - ROCK RIVER GENERATING STATION/ALLIANT","827 WBR TOWNLINE RD",BELOIT,WI,110000419538,ROCK,42.58299,-89.02593,N,0,,15969,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000419538
"MALTEUROP NORTH AMERICA INC","3830 W GRANT ST",MILWAUKEE,WI,110001922689,MILWAUKEE,43.00472,-87.96155,Y,12,,13384,,Y,https://echo.epa.gov/detailed-facility-report?fid=110001922689
"COVANCE LABORATORIES INC","3301 KINSMAN BLVD",MADISON,WI,110007331422,DANE,43.12577,-89.33263,N,2,,13037,,Y,https://echo.epa.gov/detailed-facility-report?fid=110007331422
"REXNORD INDUSTRIES LLC GEAR GROUP","3001 W CANAL ST",MILWAUKEE,WI,110000418502,MILWAUKEE,43.0293,-87.9518,N,1,,9006,17320,Y,https://echo.epa.gov/detailed-facility-report?fid=110000418502
"ELK MOUND GENERATING STATION","4101 50TH ST","ELK MOUND",WI,110040928048,DUNN,44.90299,-91.56979,N,0,,5495,,Y,https://echo.epa.gov/detailed-facility-report?fid=110040928048
"OCONTO FALLS TISSUE INCORPORATED","106 E. CENTRAL AVE.","OCONTO FALLS",WI,110000421151,OCONTO,44.873593,-88.14389,N,3,,3238,1592,Y,https://echo.epa.gov/detailed-facility-report?fid=110000421151
"MONROE ELEMENTARY","2502 S 14TH ST",MANITOWOC,WI,110005516334,MANITOWOC,44.06807,-87.66622,N,0,,,,Y,https://echo.epa.gov/detailed-facility-report?fid=110005516334
"WISDOT BRIDGE PAIR B-05-0219 & B-05-0220","I43 OVER DANZ AVE","GREEN BAY",WI,110070123736,BROWN,44.501172,-87.972419,N,0,,,,Y,https://echo.epa.gov/detailed-facility-report?fid=110070123736
"WI ARMY NATL GUARD BLDG/GROUNDS AREA 3 HQ","S 10TH AVE BLDG 90","FORT MCCOY",WI,110064821493,MONROE,43.933712,-90.799239,N,0,,,,Y,https://echo.epa.gov/detailed-facility-report?fid=110064821493
"MASTERCRAFT INDUSTRIES","207 W NEWTON","RICE LAKE",WI,110005488347,BARRON,45.5025,-91.73913,N,0,,,,Y,https://echo.epa.gov/detailed-facility-report?fid=110005488347
